EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline
RED BULL COMPANY LIMITED,"Seven Dials Warehouse Seven Dials Warehouse,
42-56 Earlham Street,
London,
England,
WC2H 9LA",2790349,46341,24.3,29.2,12.8,2.2,74.2,49.2,15,85,64.1,35.9,44.8,55.2,60.7,39.3,https://policies.redbull.com/policies/RedBull.com_UK/201903130256/en/gender_pay_report.html,Peter Charles (General Manager UK),250 to 499,RED BULL COMPANY LIMITED,FALSE
RED HAT UK LIMITED,"Peninsular House 30-36 Monument Street,
4th Floor,
London,
England,
EC3R 8NB",3798903,62020,24.7,31.4,49.7,51.9,97,96,54.8,45.2,71,29,88,12,80.8,19.2,https://www.redhat.com/en/jobs/life/diversity,"Michael O'Neill (Senior Director, Finance and Director of Red Hat UK Ltd)",500 to 999,RED HAT UK LIMITED,FALSE
REDCOMB PUBS LIMITED,"Riverside House,
Osiers Road,
London,
England,
SW18 1NH",8834168,56302,19.6,5.9,6.3,-34.4,14.4,7.6,55.6,44.4,47.6,52.4,50.8,49.2,77.8,22.2,https://www.youngs.co.uk/youngs/uploads/sites/2/2019/03/young-and-red-comb-gender-pay-gap.pdf,Patrick Dardis (Director),250 to 499,REDCOMB PUBS LIMITED,FALSE
REED & MACKAY TRAVEL LIMITED,"Nexus Place,
25 Farringdon Street,
London,
United Kingdom,
EC4A 4AF",963087,79110,21,9,22.9,-8,77.9,88.3,24.3,75.7,26.2,73.8,39.3,60.7,57.9,42.1,,Victoria O'Rourke (HR Director),500 to 999,REED & MACKAY TRAVEL LIMITED,FALSE
REED BUSINESS INFORMATION LIMITED,"Quadrant House,
The Quadrant,
Sutton,
Surrey,
United Kingdom,
SM2 5AS",151537,62090,21.5,19,64.4,25.9,53,48.2,45,55,48.1,51.9,60,40,70.2,29.8,https://s3-eu-west-1.amazonaws.com/cjp-rbi-reedbusiness/content/uploads/2018/03/3.-GPG-RBI_FINAL.pdf,Donald Welsko (EVP Human Resources and Corporate Services),1000 to 4999,REED BUSINESS INFORMATION LIMITED,FALSE
REED EXHIBITIONS LIMITED,"Gateway House,
28 The Quadrant,
Richmond,
Surrey,
United Kingdom,
TW9 1DN",678540,82301,23.1,20.9,42,15.7,62.8,46.5,29.7,70.3,44.9,55.1,47.1,52.9,55.5,44.5,https://www.reedexhibitions.com/local-reporting-requirements,Richard Lowther (Global Human Resources Director),500 to 999,REED EXHIBITIONS LIMITED,FALSE
REED IN PARTNERSHIP LIMITED,"Academy Court,
94 Chancery Lane,
London,
United Kingdom,
WC2A 1DT",851645,"78109,
78200",14.5,7.8,48,31,6,11,37,63,28,72,49,51,49,51,http://reedinpartnership.co.uk/about-us/our-commitments,Richard Stacey (Head of HR),250 to 499,REED IN PARTNERSHIP LIMITED,FALSE
REED ONLINE LIMITED,"Academy Court,
94 Chancery Lane,
London,
United Kingdom,
WC2A 1DT",6317279,78109,16.4,22,17.5,-7.2,66.2,61.5,51.3,48.7,61,39,74,26,79.2,20.8,https://www.reed.co.uk/resources/cms/downloads/reed-gender-pay-gap.pdf,Ian Nicholas (Chief HR Officer),250 to 499,REED ONLINE LIMITED,FALSE
Reed Smith LLP,"The Broadgate Tower,
20 Primrose Street,
London,
United Kingdom,
EC2A 2RS",OC303620,,14.9,40.4,17.4,53,81.8,88.7,32.8,67.2,24.8,75.2,38.8,61.2,48.8,51.2,https://www.reedsmith.com/-/media/files/offices/reedsmithgenderpaygap2018.pdf,"Tamara Box (Managing Partner, Europe and Middle East)",500 to 999,Reed Smith LLP,FALSE
REED SPECIALIST RECRUITMENT LIMITED,"Academy Court,
94 Chancery Lane,
London,
United Kingdom,
WC2A 1DT",6903140,"78109,
78200",13.6,7.4,24.9,27.5,77.3,78.7,35.1,64.9,36,64,37.2,62.8,45.8,54.2,https://oliver-uploads.s3.amazonaws.com/2019/04/02/08/18/37/722/Reed%20Special%20Recruitment%20Ltd%202018%20-%20Gender%20Pay%20Gap%20Report.pdf,Ian Nicholas (Chief HR Officer),1000 to 4999,REED SPECIALIST RECRUITMENT LIMITED,FALSE
REED STAFFING SERVICES LIMITED,"Academy Court,
94 Chancery Lane,
London,
United Kingdom,
WC2A 1DT",5247149,78200,1.9,0.6,34.4,51.2,7.5,6,34.2,65.8,38.9,61.1,39.6,60.4,35.8,64.2,https://oliver-uploads.s3.amazonaws.com/2019/04/02/08/22/01/194/Reed%20Staffing%20Services%20Ltd%202018%20-%20Gender%20Pay%20Gap%20Report.pdf,Ian Nicholas (Chief HR Officer),"5000 to 19,999",REED STAFFING SERVICES LIMITED,FALSE
REFUGE,"International House, 1 St Katharine's Way,
London,
E1W 1UN",1412276,96090,33.3,35.7,NA,NA,0,0,1.4,98.6,0,100,0,100,4.3,95.7,https://www.refuge.org.uk/wp-content/uploads/2019/05/Refuge-Gender-Pay-Gap-Report.pdf,Jean Chalton (Head of Human Resources),250 to 499,REFUGE,TRUE
Regal Care Trading Ltd,"30 Station Road,
Orpington,
Kent,
United Kingdom,
BR6 0SA",8126756,87100,0,0,NA,NA,0,0,18.9,81.1,19.1,80.9,18.3,81.7,19.2,80.8,,Omar Weerasiri (Finance Director),500 to 999,Regal Care Trading Ltd,FALSE
Regent's University London,"Inner Circle,
Regent's Park,
London,
United Kingdom,
NW1 4NS",1791760,"1,
85421,
85422",10.8,3.7,60.2,0,16.2,20.7,41.7,58.3,35.4,64.6,47.2,52.8,55.5,44.5,,,250 to 499,Regent's University London,FALSE
REGIONAL CONTRACT SERVICES LIMITED,"1 Bethwin Road,
London,
SE5 0SN",5100805,81210,0,0,NA,NA,0,0,38.8,61.2,29.2,70.8,35.4,64.6,26.4,73.6,https://www.regionalservices.co.uk,Manuel Jardim (Company Director),250 to 499,REGIONAL CONTRACT SERVICES LIMITED,FALSE
REGULAR CLEANING SERVICES LIMITED,"Aldworth House,
1 Aldworth Grove,
London,
United Kingdom,
SE13 6HJ",2708722,81210,7.1,-2.6,NA,NA,0,0,47,53,53,47,49,51,50,50,https://regularcleaning.com,Gemma Bowers (HR/L&D Director),500 to 999,REGULAR CLEANING SERVICES LIMITED,FALSE
REISS LIMITED,"Reiss Building,
12 Picton Place,
London,
England,
W1U 1BW",2655347,"47710,
47721,
47722,
47910",17.6,-3.4,-25,-21.2,69.8,69.5,45,55,32,68,36,64,35,65,,Luke East (People & Culture Director),1000 to 4999,REISS LIMITED,FALSE
RENAISSANCE RESOURCES LIMITED,"121 Dalyell Road,
London,
SW9 9UU",4326234,78200,0.2,1.6,NA,NA,0,0,42.9,57.1,50,50,52.4,47.6,60,40,http://www.evocationefl.net,Martin Richards (Director),Less than 250,RENAISSANCE RESOURCES LIMITED,FALSE
RENAULT RETAIL GROUP UK LIMITED,"Head Office Concord Road,
Western Avenue,
London,
United Kingdom,
W3 0RZ",2304689,45111,24,24,51,45,90,80,71,29,66,34,85,15,92,8,https://www.renaultretail.co.uk/about-us/,Rachel Manley (Head of HR),500 to 999,RENAULT RETAIL GROUP UK LIMITED,FALSE
RENDALL & RITTNER LIMITED,"Portsoken House, 155 - 157 Minories,
London,
EC3N 1LJ",2515428,68320,-0.1,0,7.1,-50,26,14,68,32,79,21,75,25,61,39,https://www.rendallandrittner.co.uk/pdf/Rendall-and-Rittner-Ltd-Gender-Pay-Gap-Report-2018.pdf,Catherine Riva (Director),1000 to 4999,RENDALL & RITTNER LIMITED,FALSE
REPSOL SINOPEC RESOURCES UK LIMITED,"Suite 1, 3rd Floor 11-12 St. James's Square,
London,
England,
SW1Y 4LB",825828,"6100,
6200",19.2,19.1,26.5,15.5,98,97,63.4,36.6,86.4,13.6,90.3,9.7,91.7,8.3,https://www.repsolsinopecuk.com/files/2018-Gender-Pay-Gap-Report.pdf,Tomas Garcia Blanco (Director),500 to 999,REPSOL SINOPEC RESOURCES UK LIMITED,FALSE
RESOURCE EXPERIENCE LIMITED,"C/O Legalinx Ltd, 1 Fetter Lane,
London,
United Kingdom,
EC4A 1BR",3035364,74909,28.6,17.6,19,-7.2,85.7,67.5,18.7,81.3,19.1,80.9,40.9,59.1,53.9,46.1,,John Hubner (Group HR Director UK),1000 to 4999,RESOURCE EXPERIENCE LIMITED,FALSE
RESOURCE SOLUTIONS LIMITED,"11 Slingsby Place,
St Martin's Courtyard,
London,
United Kingdom,
WC2E 9AB",2041065,78109,18,0,40.3,17.5,29.4,32.8,42.6,57.4,41,59,34.6,65.4,49.4,50.6,https://www.resourcesolutions.com/content/dam/resource-solutions/Files/Resource-Solutions-Gender-Pay-Gap-Report%202018.pdf,Kirsty Adams (Global HR Director),1000 to 4999,RESOURCE SOLUTIONS LIMITED,FALSE
RESPONSE RECRUITMENT LIMITED,"51 Park Royal Road,
London,
London,
England,
NW10 7LQ",3229277,78200,0.5,0,64.9,-58.8,1.3,0.9,59.3,40.7,53.7,46.3,53.7,46.3,79.2,20.8,https://responserecruitment.co.uk,John Devine (Managing Director),500 to 999,RESPONSE RECRUITMENT LIMITED,FALSE
REUTERS LIMITED,"The Thomson Reuters Building 30 South Colonnade,
Canary Wharf,
London,
United Kingdom,
E14 5EP",145516,82990,18.7,21.9,35.3,32.7,84.8,76.1,52.8,47.2,57.6,42.4,71.4,28.6,77.8,22.2,https://www.thomsonreuters.com/en/about-us/corporate-responsibility-inclusion/our-people.html?refresh=true,"Mark Sandham (SVP & Chief Operating Officer, HR)",1000 to 4999,REFINITIV LIMITED,FALSE
REVENUE & CUSTOMS DIGITAL TECHNOLOGY SERVICES LIMITED,"Rcdts Room 2e/09,
100 Parliament Street,
London,
England,
SW1A 2BQ",9679225,62090,24,14,8.1,0,28.1,20.5,77,23,79.3,20.7,84.5,15.5,88.3,11.7,https://www.gov.uk/government/publications/rcdts-gender-pay-gap-report-and-data-2018,"Hannah Watson (Director, RCDTS)",500 to 999,REVENUE & CUSTOMS DIGITAL TECHNOLOGY SERVICES LIMITED,FALSE
Reynolds Porter Chamberlain LLP,"Tower Bridge House,
St. Katharines Way,
London,
United Kingdom,
E1W 1AA",OC317402,,21,30,42,-37,21.3,18,29,71,28,72,36,64,56,44,https://www.rpc.co.uk/,Rachel Street (Director of People & Talent Development),500 to 999,Reynolds Porter Chamberlain LLP,FALSE
RHUBARB FOOD DESIGN LIMITED,"5-25 Burr Road,
London,
United Kingdom,
SW18 4SQ",3632492,56290,10,6.4,1.2,-1.3,9.5,11.6,49,51,65,35,60,40,63,37,https://www.rhubarb.co.uk/gender-pay-distribution,Amanda Underwood (Chief People Officer),500 to 999,RHUBARB FOOD DESIGN LIMITED,FALSE
RIBA 1834 LIMITED,"66 Portland Place,
London,
W1B 1AD",4604934,82990,17.3,9.8,100,100,3.2,0,37,63,40.3,59.7,33.3,66.7,61.6,38.4,,Geoffrey Milton (Executive Director HRand OD),250 to 499,RIBA 1834 LIMITED,FALSE
RIBBON ACQUISITION LIMITED,"26, Red Lion Square,
London,
United Kingdom,
WC1R 4AG",5385882,68100,10.8,0,54,22,7.4,5.3,43,57,45,55,40,60,56,44,http://www.lghhm.com/,Joanne Monk (People & Development Director),1000 to 4999,RIBBON ACQUISITION LIMITED,FALSE
RICHEMONT UK LIMITED,"15 Hill Street,
London,
England,
W1J 5QT",3484692,"46180,
47710,
47770",16.9,-2.2,-10.9,-0.1,83.7,79,38,62,47,53,32,68,47,53,,Beatriz Maranon (HR Director),250 to 499,RICHEMONT UK LIMITED,FALSE
Richer Sounds PLC,"Richer House,
Hankey Place,
London,
United Kingdom,
SE1 4BB",1402643,47430,-2.7,-2,-7.7,71.6,96,85.7,89.9,10.1,91.7,8.3,92.4,7.6,86.7,13.3,https://www.richersounds.com/,David Robinson (Chairman),500 to 999,RICHER SOUNDS LIMITED,FALSE
RICHMOND AND HILLCROFT ADULT AND COMMUNITY COLLEGE,"Hillcroft College, South Bank,
Surbiton,
Surrey,
KT6 6DF",201528,85410,-4.8,-1,NA,NA,0,0,31,69,23,77,31,69,22,78,https://www.rhacc.ac.uk/,Hannah Hirsch (Director of HR and Learner Services),250 to 499,RICHMOND AND HILLCROFT ADULT AND COMMUNITY COLLEGE,FALSE
Richmond Fellowship(The),"80 Holloway Road,
London,
United Kingdom,
N7 8JG",662712,"86900,
87200,
88990",5.3,4.5,NA,NA,0,0,26.8,73.2,29.4,70.6,33.6,66.4,30.7,69.3,https://www.richmondfellowship.org.uk/about-our-gender-pay-gap-report/,Tim Anderson (Director of People and Organisational Development),1000 to 4999,Richmond Fellowship(The),FALSE
Richmond upon Thames College,"Egerton Road,
Twickenham,
Middlesex,
United Kingdom,
TW2 7SJ",,"1,
85320",8.6,18.4,0,0,0,0,30,70,35,65,50,50,49,51,https://www.rutc.ac.uk/images/pdfs/Policies/gender-pay-gap-report-31-March-2018-abridged-version.pdf,,250 to 499,Richmond upon Thames College,FALSE
RICHMOND VILLAGES OPERATIONS LIMITED,"1 Angel Court,
London,
United Kingdom,
EC2R 7HJ",4779288,86900,7.9,7.8,51.2,27.7,7.2,11.1,12.6,87.4,14.4,85.6,18.8,81.2,25.7,74.3,https://www.bupa.com/genderpaygap,Nigel Sullivan (Chief People Officer),500 to 999,RICHMOND VILLAGES OPERATIONS LIMITED,FALSE
Ricoh Europe PLC,"20 Triton Street,
London,
United Kingdom,
NW1 3BF",720944,70100,18.4,25.4,28.6,27.1,81.5,75.2,36.8,63.2,75.8,24.2,86.3,13.7,76,24,https://www.ricoh-europe.com/about-us/gender-pay-gap/index.html,"David Mills (CEO, Ricoh Europe)",250 to 499,Ricoh Europe PLC,FALSE
RIGHT CHOICE INSURANCE BROKERS LIMITED,"St James House, 27 - 43 Eastern Road,
Romford,
Essex,
RM1 3NH",6423401,65120,20,0,47.2,41.4,87.4,71.1,60.2,39.8,34.9,65.1,30.1,69.9,66.3,33.7,https://www.rcib.co.uk/gender-pay-gap,Darren Joseph (Chief Operating Officer),250 to 499,RIGHT CHOICE INSURANCE BROKERS LIMITED,FALSE
RITZ HOTEL (LONDON) LIMITED(THE),"150 Piccadilly,
London,
United Kingdom,
W1V 9DG",64203,55100,6.5,3.6,5.6,-116.5,42,32.9,66.7,33.3,55.3,44.7,55.3,44.7,78.7,21.3,https://www.theritzlondon.com/policies/,Sal Gowili (General Manager),250 to 499,RITZ HOTEL (LONDON) LIMITED(THE),FALSE
RIVER ISLAND CLOTHING CO. LIMITED,"Chelsea House,
West Gate,
London,
United Kingdom,
W5 1DR",636095,47710,12.1,6.7,5.7,15,19.3,13,23.8,76.2,23.2,76.8,31.7,68.3,31.7,68.3,https://www.riverisland.com/inside-river-island/about-us/gender-pay-gap,Ben Lewis (Chief Executive),"5000 to 19,999",RIVER ISLAND CLOTHING CO. LIMITED,FALSE
Rnib Charity,"C/O Rnib,
105 Judd Street,
London,
United Kingdom,
WC1H 9NE",8971500,"63990,
85590,
87900,
94990",9.9,1.8,16.7,52.4,16.1,16.4,14.1,85.9,14.8,85.2,15.6,84.4,22,78,https://www.rnib.org.uk/about-rnib-what-we-do/annual-review-and-annual-reports,"Ros Parker (Director, People)",500 to 999,Rnib Charity,FALSE
ROBERT DYAS HOLDINGS LIMITED,"1 St Georges Road,
Wimbledon,
London,
United Kingdom,
SW19 4DR",4041884,"47520,
47540",12,4.6,51,26,62,67,52,48,41,59,54,46,62,38,https://www.robertdyas.co.uk/gender-pay-gap-report/,Laura Keane (Group HR Director),1000 to 4999,ROBERT DYAS HOLDINGS LIMITED,FALSE
ROBERT HEATH HEATING LIMITED,"Heath House,
264 Burlington Road,
New Malden,
Surrey,
United Kingdom,
KT3 4NN",1773699,43220,27.7,26.3,57.5,83.6,10.3,12.5,53,47,83,17,93,7,95,5,,Michael Heath (Managing Director),250 to 499,ROBERT HEATH HEATING LIMITED,FALSE
ROBERT WALTERS OPERATIONS LIMITED,"11 Slingsby Place,
St Martin's Courtyard,
London,
United Kingdom,
WC2E 9AB",3621607,"78109,
78200",19.8,20,61.4,48.4,53.6,49,39.6,60.4,43.9,56.1,51.8,48.2,60.4,39.6,https://www.robertwalters.co.uk/content/dam/robert-walters/country/united-kingdom/files/Gender%20Pay%20Gap%20Report/RW-Gender-Pay-Gap-Report-2018.pdf,"Sarah Horridge (Head of HR, UK)",500 to 999,ROBERT WALTERS OPERATIONS LIMITED,FALSE
ROBINSON WEBSTER (HOLDINGS) LIMITED,"159 Mortlake Road,
Richmond,
Surrey,
United Kingdom,
TW9 4AW",1069599,"47710,
47910",26,12.3,5.1,15.8,33.3,54.9,8.3,91.7,10,90,12.7,87.3,17.1,82.9,https://www.jigsaw-online.com/content/gender-pay,Toby Foreman (CEO),500 to 999,ROBINSON WEBSTER (HOLDINGS) LIMITED,FALSE
ROCKLEY DENE HOMES LIMITED,"36 Railway Approach,
Harrow,
Middlesex,
United Kingdom,
HA3 5AA",2108777,87100,16,7,59,-0.2,67,33,35,65,29,71,17,83,34,66,,Lorna Badrick (Chief Operating Officer),250 to 499,ROCKLEY DENE HOMES LIMITED,FALSE
ROCKSTAR NORTH LIMITED,"Hanover House,
14 Hanover Square,
London,
United Kingdom,
W1S 1HP",3312220,58290,66.2,34.3,85.6,62.5,91,89.8,81.4,18.6,76.2,23.8,91.8,8.2,91,9,http://www.rockstarnorth.com/ext/n/pdf/RSN_Gender-Pay-Gap_040419.pdf,Jennifer Kolbe (Vice President),1000 to 4999,ROCKSTAR NORTH LIMITED,FALSE
Roehampton University,"Grove House,
Roehampton Lane,
London,
United Kingdom,
SW15 5PJ",5161359,"1,
85421,
85422",8.2,5.2,0,0,0,0,38,62,32,68,38,62,45,55,https://www.roehampton.ac.uk/globalassets/documents/corporate-information/university-of-roehampton-gender-pay-gap-report-mar-31-2018.pdf,,1000 to 4999,Roehampton University,FALSE
ROEVIN MANAGEMENT SERVICES LIMITED,"Millennium Bridge House, 2 Lambeth Hill,
London,
EC4V 4BG",2436481,78200,-8.2,-16.9,1,5.7,2.3,16.7,94.4,5.6,74.4,25.6,93.3,6.7,74.6,25.4,https://www.roevin.co.uk/gender-pay-gap,"Richard Thompson (Regional Head of HR, UNAM)",250 to 499,ROEVIN MANAGEMENT SERVICES LIMITED,FALSE
Rolls-Royce PLC,"62 Buckingham Gate,
London,
United Kingdom,
SW1E 6AT",1003142,"25300,
25620,
28110",4.9,7.1,5.8,8.3,97.6,97.9,76,24,90,10,91,9,85,15,https://www.rolls-royce.com/sustainability/our-people.aspx#section-gender-pay-report,Warren East (CEO),"20,000 or more",Rolls-Royce PLC,FALSE
ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,"59 Westminster Bridge Road,
London,
SE1 7JE",CE009997,,6.4,7,NA,NA,0,0,26.1,73.9,64.7,35.3,33,67,33,67,,Paul McCallum (Financial Secretary),250 to 499,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,FALSE
ROOFOODS LTD,"The River Building - Level 1 Cannon Bridge House,
1 Cousin Lane,
London,
United Kingdom,
EC4R 3TE",8167130,63120,19.8,17.2,15.8,-2.8,25.9,36.8,62.6,37.4,52.2,47.8,61.4,38.6,73.1,26.9,https://uk.deliveroo.news/assets/pdf/gpg-supporting-info-april-2019.pdf,Caleb Merkl (Chief People Officer),1000 to 4999,ROOFOODS LTD,FALSE
Rowan Companies PLC,"Cannon Place, 78 Cannon Street,
London,
United Kingdom,
EC4N 6AF",7805263,9100,30.1,22.1,62.7,-12.1,92.7,18.8,86.4,13.6,91.7,8.3,96.7,3.3,98.3,1.7,http://www.rowan.com/home/default.aspx,Thomas Burke (President & CEO),250 to 499,Rowan Companies PLC,FALSE
Royal Academy of Music,"Marylebone Road,
London,
London,
United Kingdom,
NW1 5HT",RC000438,"1,
85421",18,15,3,-382,1,1,39,61,51,49,57,43,68,32,,,500 to 999,Royal Academy of Music,FALSE
Royal Albert Hall,"Royal Albert Hall,
Kensington Gore,
London,
SW7 2AP",,"90010,
91030",5.7,4.8,7.8,15.3,69.7,69.3,41,59,44,56,57,43,52,48,https://www.royalalberthall.com/extra/jobs/working-at-the-hall/,Craig Hassall (Chief Executive),250 to 499,Royal Albert Hall,FALSE
ROYAL BANK OF CANADA,"Riverbank House 2 Swan Lane,
London,
EC4R 3BF",BR000548,,33,29,63,55,88,89,46,54,65,35,76,24,84,16,https://www.rbc.com/diversity-inclusion/diversity-inclusion-at-rbc.html?utm_source=news&utm_medium=email&utm_campaign=ent_diversity%20europe,"David Thomas (Head, Royal Bank of Canada (London Branch))",500 to 999,ROYAL BANK OF CANADA,FALSE
Royal Borough of Greenwich,"Royal Borough of Greenwich,
The Woolwich Centre,
35 Wellington Street,
London,
United Kingdom,
SE18 6HQ",,"1,
84110",-4.3,-6.3,NA,NA,0,0,61,39,35,65,32,68,47,53,https://www.royalgreenwich.gov.uk/genderpaygap,,1000 to 4999,Royal Borough of Greenwich,FALSE
Royal Borough of Kensington and Chelsea,"Kensington Town Hall,
Hornton Street,
London,
W8 7NX",,"1,
84110",7.9,7.6,19.2,8.2,37.6,27.2,33.8,66.2,36.7,63.3,39.9,60.1,47.4,52.6,https://www.rbkc.gov.uk/council-councillors-and-democracy/open-data-and-transparency/transparency-and-open-data/transparency,,1000 to 4999,Royal Borough of Kensington and Chelsea,FALSE
Royal Borough Of Kingston-Upon-Thames,"Guildhall 2,
High Street,
Kingston-Upon-Thames,
KT1 1EU",,"1,
84110",3.8,4.8,NA,NA,0,0,36,64,33,67,35,65,42,58,https://data.kingston.gov.uk/transparency-code/,,1000 to 4999,Royal Borough Of Kingston-Upon-Thames,FALSE
"Royal Botanic Gardens, Kew","Kew,
Richmond,
Surrey,
TW9 3AB",,1,8.2,2.2,11.9,0,15.9,11,48.4,51.6,33.9,66.1,36.2,63.8,51.4,48.6,https://www.kew.org/about-our-organisation/our-policies/gender-pay-gap-reporting,,500 to 999,"Royal Botanic Gardens, Kew",FALSE
Royal Brompton & Harefield NHS Foundation Trust,"Sydney Street,
London,
London,
United Kingdom,
SW3 6NP",,"1,
86210",20.9,10.1,13,22,6.1,1.2,28,72,23,77,24,76,44,56,https://www.rbht.nhs.uk/about-us/trust-policies,,1000 to 4999,Royal Brompton & Harefield NHS Foundation Trust,FALSE
ROYAL COLLECTION ENTERPRISES LIMITED,"York House,
St. James's Palace,
London,
United Kingdom,
SW1A 1BQ",2778486,"47190,
91030",-11.5,-2,NA,NA,0,0,38.7,61.3,39,61,29.7,70.3,25.6,74.4,https://www.royal.uk/royal-household-gender-pay-gap-report.,Keith Harrison (Finance Director),250 to 499,ROYAL COLLECTION ENTERPRISES LIMITED,FALSE
ROYAL COLLEGE OF ART(THE),"Kensington Gore,
London,
SW7 2EU",RC000456,,11.1,10.9,69.2,87.5,2.4,3.2,34.4,65.6,40,60,42.6,57.4,56.4,43.6,,Lorna Walker (Director of HR),500 to 999,ROYAL COLLEGE OF ART(THE),FALSE
Royal College of Music,"Prince Consort Road,
London,
SW7 2BS",,"1,
85421",6.8,0,0,0,0,0,45,55,62.8,37.2,62.2,37.8,50.3,49.7,https://www.rcm.ac.uk/about/governance/strategy/hr/Gender%20Pay%20Gap%20Report%202018%20-%20EXTERNAL%20FINAL.pdf,,250 to 499,Royal College of Music,FALSE
ROYAL COLLEGE OF NURSING OF THE UNITED KINGDOM (THE),"20 Cavendish Square,
London,
W1G 0RN",RC000459,,7.8,11.5,NA,NA,0,0,17.6,82.4,22.9,77.1,33.3,66.7,30.9,69.1,https://www.rcn.org.uk/professional-development/publications/007-556,Donna Kinnair (Acting Chief Executive & General Secretary),500 to 999,ROYAL COLLEGE OF NURSING OF THE UNITED KINGDOM (THE),FALSE
Royal College of Physicians,"11 St Andrews Place,
London,
London,
United Kingdom,
NW1 4LE",,85200,10.3,6.3,0,0,3.7,4.2,40,60,22,78,30,70,43,57,https://www.rcplondon.ac.uk/projects/outputs/rcp-gender-pay-gap-2018,Ian Bullock (CEO),250 to 499,Royal College of Physicians,TRUE
Royal Free London Nhs Foundation,"Royal Free Hospital,
Pond Street,
London,
NW3 2QG",,"1,
86210",16,11.3,19.8,40.7,5.8,1.1,26,74,22.1,77.9,22.4,77.6,37.2,62.8,,,"5000 to 19,999",Royal Free London Nhs Foundation,FALSE
ROYAL GARDEN HOTEL LIMITED,"The Royal Garden Hotel,
2-24 Kensington High Street,
London,
United Kingdom,
W8 4PT",3045114,55100,0,0,71.5,80.7,5.6,8.1,53.5,46.5,52.3,47.7,67.4,32.6,53.5,46.5,https://www.royalgardenhotel.co.uk/careers,Stella Amor (HRD),250 to 499,ROYAL GARDEN HOTEL LIMITED,FALSE
ROYAL HOSPITAL FOR NEURO-DISABILITY,"West Hill,
Putney,
London,
SW15 3SW",RC000481,,6.6,-12.3,NA,NA,0,0,26,74,38,62,28,72,26,74,,Paul Allen (Chief Executive),500 to 999,ROYAL HOSPITAL FOR NEURO-DISABILITY,FALSE
Royal Institution Of Chartered Surveyors,"12 Great George Street,
Parliament Square,
London,
London,
United Kingdom,
SW1P 3AD",RC000487,,29,30,17,37,17,6,34,66,31,69,35,65,65,35,https://www.rics.org/uk/about-rics/responsible-business/gender-pay-report/,Marina Kilcline (Chief People Officer),500 to 999,Royal Institution Of Chartered Surveyors,FALSE
"ROYAL LONDON MUTUAL INSURANCE SOCIETY,LIMITED(THE)","55 Gracechurch Street,
London,
United Kingdom,
EC3V 0RL",99064,66290,35.9,27.4,71.2,49.1,91,92,42,58,49,51,61,39,69,31,https://www.royallondon.com/careers/inclusion-and-diversity/,Phil Loney (Group Chief Executive),1000 to 4999,"ROYAL LONDON MUTUAL INSURANCE SOCIETY,LIMITED(THE)",FALSE
ROYAL MAIL GROUP LIMITED,"100 Victoria Embankment,
London,
United Kingdom,
EC4Y 0HQ",4138203,53100,-0.6,1,-22.7,0,97,94,82,18,82,18,83,17,83,17,https://www.royalmailgroup.com/en/responsibility/our-focus-areas/our-people/,Rico Back (Chief Executive Officer),"20,000 or more",ROYAL MAIL GROUP LIMITED,FALSE
Royal Mencap Society,"123 Golden Lane,
London,
United Kingdom,
EC1Y 0RT",550457,87200,5.1,4.4,NA,NA,0,0,22,78,23,77,27,73,28,72,https://www.mencap.org.uk/sites/default/files/2019-04/Gender%20pay%20gap%20report%202018.pdf,Jan Tregelles (Chief Executive),"5000 to 19,999",Royal Mencap Society,FALSE
Royal National Institute Of Blind People,"105 Judd Street,
London,
London,
United Kingdom,
WC1H 9NE",RC000500,,9.5,8.1,-22.7,-15.4,36.1,28,20.9,79.1,28.6,71.4,32.4,67.6,37,63,https://www.rnib.org.uk/about-rnib-what-we-do/annual-review-and-annual-reports,"Ros Parker (Director, People)",1000 to 4999,Royal National Institute Of Blind People,FALSE
Royal National Orthopaedic Hospital,"Brockley Hill,
Stanmore,
Middlesex,
HA7 4LP",RC000504,,30.3,18.2,23.7,33.3,8.8,1.1,25.6,74.4,21.2,78.8,22.5,77.5,50.6,49.4,https://www.rnoh.nhs.uk/,Tom Nettel (Director of Workforce & Improvement),1000 to 4999,Royal National Orthopaedic Hospital,FALSE
